song_id,name,duration,album_id,country_chart,chart_rank
1J14CdDAvBTE1AJYUOwl6C,Arcade,185146,4fEgAL4ge9hHhxVDCUZbeF,Austria,21
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),140533,270o30h7cAlEhBnbuSpFZq,Austria,22
61KpQadow081I2AsbeLcsb,deja vu,215507,3lwHyR4joA1xB7Nun21EP6,Austria,23
6j0l7Hjt6qeDCQnYBZuJXY,The One,164560,3qzXinrMHSBhrsKBcwnLLR,Austria,24
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),208866,1OnzqJTL9bwe4kvaLxRYxt,Austria,25
3RcXFW8aiRYHRaDDYBqJ76,Faded Love,148345,5DwA2j6RPl3a9CEHROkUK5,Austria,26
5dDQDduj3EaWrPIZ9bc8tj,BAD EYEZ,236810,1IspgyaPEgZEvvKDT1MCMm,Austria,27
0E4Y1XIbs8GrAT1YqVy6dq,Afterglow,185486,5bb2Sf8jps2DTyI2urMThV,Austria,28
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),166028,5glfCPECXSHzidU6exW8wO,Austria,29
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),167903,15sy3XQFShOFiDpKoxByyA,Austria,30
45bE4HXI0AwGZXfZtMp8JR,you broke me first,169265,1RWiRfdNZKDe8VXzzf2VEc,Austria,31
6i7zAdNhzUN2k1HcrBxPHG,Head Shoulders Knees & Toes (feat. Norma Jean Martine),156960,1MZ3ZQqAV3wFjHjaOe6KFz,Austria,32
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,4yP0hdKOZPNshxUOjY0cZj,Austria,33
6V1lWr7s8CO5VkxXe4hBtg,PEPPERMINT,197240,4SjKfWuaqoEvX3m1HdYij3,Austria,34
2SNKXQu2g74AKu6zYFOL0j,Solid,192000,1MzD3leRcUeeJrtX1KJIbD,Austria,35
4DnHEa1fuf3bn61AwT8Qiv,Ordentlich,168003,5R71PtNXCUYLQoOD0myCCl,Austria,36
7jtQIBanIiJOMS6RyCx6jZ,Another Love,244360,0KGBW1MQtC2aFPCDUdAkdJ,Austria,37
2QuQkdLLzgktXwruPAz6f4,White Lies,183588,6N3kk3LU2L3KweZh6vTq0a,Austria,38
0iSNXzEBlNNJrqRiEIAw1s,Overdose,157030,1Nw6WuaXLgABnThiOh2Kdc,Austria,39
4Lt6GXGzYsa1tgkv3nGSTm,Love Not War (The Tampa Beat),192921,3CHys9v5aX1NS861o6r556,Austria,40
1nahzW3kfMuwReTka28tH5,Hold On,170813,5dGWwsZ9iB2Xc3UKR0gif2,Austria,41
1KixkQVDUHggZMU9dUobgm,My Head & My Heart,174760,26c7MmQ4w8EAvVLb4jilaM,Austria,42
1WUXlAFlKIu7fixKZvQECX,ZART,134977,7gG3z3pqEcVW8avRuW98pm,Austria,43
1iAyJBksvAI6DQEnzv8l1E,All We Got (feat. KIDDO),190218,2QC9gnxGo0MnJ98mLTOf6c,Austria,44
46lyJh9GYmWsHez3EsvmAx,Rise Up (feat. Vamero),182000,4DsxykS9CPTnJPeoWXkRV8,Austria,45
5KQuQptKeiPuCVRHAEfBHW,Turtlez,161970,3baBaA5v0s0D5hHdXQP5uI,Austria,46
38ymFU7u5XorxpySYJT0FA,Verpennt,193717,0ZTSxS2LT3Il0QPm4l8kes,Austria,47
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),203064,5lKlFlReHOLShQKyRv6AL9,Austria,48
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,198370,1zHR48K6XtWYm6bhrw4J6C,Austria,49
4DmaRgnBrN1IF7Q3R9hTFJ,Plesi,152571,2LDGUJR5xUMwkvKlbhrkat,Austria,50
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),137875,2Hjcfw8zHN4dJDZJGOzLd6,Belgium,1
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),198081,5dGWwsZ9iB2Xc3UKR0gif2,Belgium,2
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,169153,39qsmsNRXjVaFqTZj9af0j,Belgium,3
6f3Slt0GbA2bPZlz0aIFXN,The Business,164000,2adSO4KU3FDjeM1PXCRDZm,Belgium,4
3VT8hOC5vuDXBsHrR53WFh,Astronaut In The Ocean,132780,57UjGWNfxfsBCykDm73XBK,Belgium,5
3iw6V4LH7yPj1ESORX9RIN,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,116750,1zEBi4O4AaY5M55dUcUp3z,Belgium,6
7lPN2DXiMsVn7XUKtOW1CS,drivers license,242013,66FPnVL9G4CMKy3wvaGTcr,Belgium,7
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,161384,3YjfdLdpQcVI72uKhooZst,Belgium,8
5QO79kh1waicV47BqGRL3g,Save Your Tears,215626,4yP0hdKOZPNshxUOjY0cZj,Belgium,9
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),150052,7F9yYqHRtIZnEGF2tANI4b,Belgium,10
3F1P0QzdXtBz0MXy7KIO5w,Fever,156910,5lKlFlReHOLShQKyRv6AL9,Belgium,11
1J14CdDAvBTE1AJYUOwl6C,Arcade,185146,4fEgAL4ge9hHhxVDCUZbeF,Belgium,12
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),167903,15sy3XQFShOFiDpKoxByyA,Belgium,13
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,242096,7dfPqXck6BB9wpThrVYBss,Belgium,14
2vBET2pmrQqafaS6zIaYta,GIRL LIKE ME,220659,2eORe6u9TPXYisYshyXVeH,Belgium,15
43PGPuHIlVOc04jrZVh9L6,RAPSTAR,165925,0SVzFcpsByITKgURaxXdsV,Belgium,16
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,4yP0hdKOZPNshxUOjY0cZj,Belgium,17
6Vcxzw4ifKqYxVrp3ckpVF,HAINE&SEX,201426,31H0KWvM2hCC3p8jkctCWN,Belgium,18
